X,Y,Council_ID,Administrative_Authority,Name,Address1,Address2,Town,Postcode,County,Services,Phone,Email,Website,Image,WGS84Latitude,WGS84Longitude,Opening_Hours_Monday,Opening_Hours_Tuesday,Opening_Hours_Wednesday,Opening_Hours_Thursday,Opening_Hours_Friday,Saturday,OBJECTID
-9.07446057544246,53.277400205441175,GY,GALWAY COUNTY COUNCIL,WESTSIDE LIBRARY,SEAMUS QUIRKE ROAD,,GALWAY City,000000,COUNTY GALWAY,,+353 (0) 91 520616,westside@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.27739,-9.07447,Closed,11.00am to 8.00pm,1.00am to 8.00pm,11.00am to 5.00pm,11.00am to 5.00pm,11.00am to 1.00pm and 2.00pm to 5.00pm,1
-9.91787484857675,53.394958499678431,GY,GALWAY COUNTY COUNCIL,ROUNDSTONE PUBLIC LIBRARY,ROUNDSTONE TOWN HALL,,ROUNDSTONE,000000,COUNTY GALWAY,,+353 (0) 83 3959860,roundstone@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.394944,-9.917876,Closed,Closed,15:00 to 17:30,17:30 to 20:00,15:00 to 17:30,11:00 to 13:30,2
-8.748938890564629,53.297636824817019,GY,GALWAY COUNTY COUNCIL,ATHENRY PUBLIC LIBRARY,SWAN GATE,,ATHENRY,000000,COUNTY GALWAY,,+353 (0) 91 845592,athenry@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.297628,-8.748951,Closed,15:00 to 18:00 and 19:00 to 20:00,11:00 to 13:00,16:00 to 19:00,11:00 to 13:00 and 14:00 to 16:00,11:00 to 13:00,3
-8.400027283446811,53.051725836829952,GY,GALWAY COUNTY COUNCIL,WOODFORD PUBLIC LIBRARY,WOODFORD,,WOODFORD,000000,COUNTY GALWAY,,+353 (0) 90 9749200,woodford@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.05172,-8.40004,Closed,14:30 to 16:30,14:30 to 16:30,18:00 to 20:00,11:00 to 13:00,10:00 to 12:00,4
-9.668380290515382,53.121237417786745,GY,GALWAY COUNTY COUNCIL,Leabharlann Cill Rónáin,IONAD FIONTAIR CHOLM Ó HIARNÁIN,LOWER KILRONAN,INIS MÓR,000000,COUNTY GALWAY,,+353 (0) 99 20937,inismor@galwaylibrary.ie,http://www.galway.ie/ga/Seirbhisi/AnLeabharlann/,,53.121226,-9.668384,Closed,14:00 to 16:00,11:00 to 13:00,18:00 to 20:00,14:00 to 16:00,12:00 to 14:00,5
-8.854160713024363,53.514424483755874,GY,GALWAY COUNTY COUNCIL,TUAM LIBRARY,HIGH STREET,,TUAM,000000,COUNTY GALWAY,,+353 (0) 93 24287,tuam@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.514413,-8.854173,Closed,10:30 to 13:00 and 14:00 to 17:00,10:30 to 13:00 and 14:00 to 17:00,10:30 to 13:00 and 14:00 to 17:00,10:30 to 13:00 and 14:00 to 17:00,10:30 to 13:00 and 14:00 to 17:00 (Closed on Bank Holiday Weekends),6
-9.691985838137841,53.594122869393622,GY,GALWAY COUNTY COUNCIL,LEENANE PUBLIC LIBRARY,LEENANE COMMUNITY HALL,DERRAHEEDA,LEENANE,000000,COUNTY GALWAY,,+353 (0) 95 42920,leenane@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.594108,-9.69199,Closed,18.00 – 20.00,15.00 – 17.00,11.00 – 13.00,12.00 – 14.00,11.00 – 13.00,7
-9.002184575683327,53.282740990239205,GY,GALWAY COUNTY COUNCIL,BALLYBANE PUBLIC LIBRARY,BALLYBANE NEIGHBOURHOOD VILLAGE,CASTLEPARK ROAD,GALWAY CITY,000000,COUNTY GALWAY,,+353 (0) 91 380590,ballybane@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.282731,-9.002194,Closed,11:00 to 13:00 and 14:00 to 17:00,11:00 to 13:00 and 14:00 to 17:00,11:00 to 13:00 and 14:00 to 17:00,11:00 to 13:00 and 14:00 to 17:00,11:00 to 13:00 and 14:00 to 17:00,8
-9.107917820376212,53.469585174125633,GY,GALWAY COUNTY COUNCIL,HEADFORD PUBLIC LIBRARY,SAINT FARNANS HALL,CHURCH ROAD,HEADFORD,000000,COUNTY GALWAY,,+353 (0) 93 36406,headford@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.469573,-9.107928,Closed,14.30 – 17.00 & 18.00 – 20.00,11.30 – 13.30,14.30 – 19.00,11.30 – 1.30 & 2.30 – 5.00,11.30 – 13.30 & 14.30 – 16.00,9
-8.130824100054555,53.201693462468754,GY,GALWAY COUNTY COUNCIL,EYRECOURT PUBLIC LIBRARY,CHURCH LANE,,EYRECOURT,000000,COUNTY GALWAY,,+353 (0) 90 9675056,eyrecourt@galwaylibrary.ie,http://www.galway.ie/en/Services/Library/,,53.201687,-8.130839,Closed,14:00 to 16:00,18:00 to 20:00,14:00 to 16:00,11:00 to 13:00,11:00 to 13:00,10
